NOTE: Follows only available for FEED/CAROUSEL — Instagram does not provide this metric for Reels. For Reels use Reach + Total Interactions. ⭐ = matched against influencer list.,,,,,,,,,,,
Post Date,Type,Influencer Collab,Caption (preview),Link,Follows (Feed only),Reach,Likes,Saves,Shares,Total Interactions,Profile Visits
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,170,7,4,4,20,6
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,174,7,4,4,20,6
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,132,0,0,0,0,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,143,1,0,0,1,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,150,3,0,0,3,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,170,3,0,0,3,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,179,3,0,0,3,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,183,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,190,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,191,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,192,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,192,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,193,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,195,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,197,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,197,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,199,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,199,4,0,0,4,0
2026-05-31,REELS,,"If you’re tossing, turning, waking up sore, or never feeling fully rested, your mattress might be th...",https://www.instagram.com/reel/DZA-CanhbAy/,0,200,4,0,0,4,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,269,0,2,0,2,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,276,1,2,0,3,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,281,2,2,0,4,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,283,2,2,0,4,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,285,2,2,0,4,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,299,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,308,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,309,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,310,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,312,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,313,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,315,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,315,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,315,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,319,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,319,3,2,0,5,0
2026-05-28,REELS,,If your mattress doesn’t feel like a 5-star hotel bed… this is your sign to switch to Nell ✨🛏️  Ther...,https://www.instagram.com/reel/DY4qKzgRIOX/,0,320,3,2,0,5,0
2026-05-24,FEED,,"Memorial Day weekends are for slowing down, soaking up the sunshine, and finally getting the rest yo...",https://www.instagram.com/p/DYumvYURRkx/,0,114,0,0,0,0,1
2026-05-24,FEED,,"Memorial Day weekends are for slowing down, soaking up the sunshine, and finally getting the rest yo...",https://www.instagram.com/p/DYumvYURRkx/,0,146,0,0,0,0,1
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,116,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,137,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,140,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,140,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,141,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,142,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,142,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,142,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,142,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,142,3,0,0,3,0
2026-05-21,REELS,,Memorial Day weekend just got better 💤 Enjoy 20% off at  Nell USA￼ and upgrade your sleep with the m...,https://www.instagram.com/reel/DYmp2yxx4J9/,0,142,3,0,0,3,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,194,4,2,3,9,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,211,4,2,4,10,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,212,5,2,4,11,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,213,6,2,4,13,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,213,6,2,4,13,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,214,6,2,4,13,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,215,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,216,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,216,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,216,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,217,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,217,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,219,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,219,7,2,4,14,0
2026-05-20,REELS,,Not all mattress coils are created equal ✨ Nell coils are designed to give you the perfect balance o...,https://www.instagram.com/reel/DYkJiIfRZRf/,0,219,7,2,4,14,0
